,Unnamed: 0,Brown_Dwarf_Name,Constellation,Apparent_Magnitude,Distance_BrownDwarf,Mass_BrownDwarf,Radius_BrownDwarf,Gravity_Dwarf,Discovery_year,V_mag,Star_name,Distance_Star,Mass_Star,Radius_Star,Gravity_Star
0,0,2MASS 0036 1821,Pisces,12.47,28.6,7.97E+28,67202685.95,173387415388997.4 m/s2,2000,0.000−26.74,Sun,0.000015813,1.99E+30,695700000,40353533361789.91 m/s2
1,1,Teegarden's star,Aries,15.4,12.578,1.52E+29,90795118.26,180928313375455.7 m/s2,2003,0.001−1.46,Sirius,8.6,4.18E+30,1189647000,28980684675544.207 m/s2
3,3,2MASS J03552337 1133437,Taurus,14.05,29.8,3.80E+28,94369729.21,41870304844362.95 m/s2,2006,0.004−0.27,Alpha Centauri,4.4,2.19E+30,834840000,30825615762478.402 m/s2
4,4,2MASS J04151954−0935066,Eridanus,15.7,18.6,5.70E+28,67917608.14,121254547081692.17 m/s2,2002,0.005−0.05,Arcturus,37,2.19E+30,18088200000,65664033576.877075 m/s2
5,5,LSR 0602 3910 [de],Auriga,20.88,34.6,5.32E+28,100804028.9,51374049004147.37 m/s2,2003,0.03,Vega,25,4.38E+30,1878390000,12178021041966.775 m/s2
6,6,DENIS J081730.0 615520,Carina,13.6,16.1,8.35E+28,67202685.95,181643958978949.7 m/s2,2010,0.08,Capella,43,5.17E+30,8348400000,728605463476.7625 m/s2
8,8,2MASS J1047538 212423 [de],Leo,15.8,34.4,7.97E+28,67202685.95,173387415388997.4 m/s2,1999,0.34,Procyon,11.4,2.98E+30,1321830000,16767396133707.723 m/s2
9,9,DEN 1048 3956,Antlia,17.4,13.15,1.46E+29,76496674.44,245328023206523.94 m/s2,2000,0.45,Betelgeuse,0640[1],3.98E+31,6.60915E+11,894261127.1310782 m/s2
12,12,2MASS J11145133−2618235,Hydra,15.86,18.2,6.27E+28,68632530.34,130615724409016.84 m/s2,2005,0.76,Altair,17,3.58E+30,1252260000,22418629645438.84 m/s2
15,15,2MASSI J1217110 031113 [de],Virgo,15.86,36,7.97E+28,67202685.95,173387415388997.4 m/s2,1999,0.96,Antares,600,2.39E+31,4.73076E+11,1047237024.9599459 m/s2
16,16,2M 1237 6526,Draco,16.05,45.6,7.78E+28,67202685.95,169259143594021.25 m/s2,2003,0.97,Spica,260,2.27E+31,5196879000,8265832384876.564 m/s2
17,17,SDSSp J125453.90 012247.4 [de],Virgo,14.9,38,8.92E+28,70062374.72,178512937346858.25 m/s2,2000,1.14,Pollux,34,3.78E+30,6122160000,990078943535.6508 m/s2
18,18,SDSSp J132629.82 003831.5 [de],Virgo,16.1,65,9.68E+28,69347452.53,197720043426598.2 m/s2,2000,1.16,Fomalhaut,25,3.78E+30,1252260000,23664109070185.438 m/s2
25,25,2MASSW J1506544 132106 [de],Boötes,13,46,1.31E+29,72922063.48,241920536432931.7 m/s2,2000,1.64,Gacrux,88,2.98E+30,58438800000,8578557262.285273 m/s2
27,27,2MASSW J1515008 484742 [de],Boötes,14,34,1.08E+29,70777296.91,212142877878106.06 m/s2,2003,1.65,Elnath,130,9.95E+30,2921940000,11438076349713.691 m/s2
30,30,2MASS J15462718 3325111 [de],Lupus,16,37,8.35E+28,67202685.95,181643958978949.7 m/s2,2002,1.72,Gamma Velorum,"1,100",1.79E+31,4174200000,10088383340447.479 m/s2
35,35,2MASSW J1632291 190441 [de],Hercules,22,50,9.30E+28,69347452.53,189966316233398.25 m/s2,1999,1.8,Mirfak,590,1.69E+31,47307600000,74179289267.99615 m/s2
37,37,LSR J1835 3259,Lyra,18.27,18.5,1.46E+29,76496674.44,245328023206523.94 m/s2,2003,1.84,Sargas,270,1.13E+31,18088200000,340259083080.18115 m/s2
38,38,2MASS J22282889 4310262,Grus,15.66,35,7.97E+28,67202685.95,173387415388997.4 m/s2,2013,1.85,Kaus Australis,140,6.96E+30,4730760000,3054441322799.8423 m/s2
39,39,WISE 0410 1502,Taurus,19.25,20,1.14E+28,83645896.35,15988345202896.805 m/s2,2010,1.86,Avior,630,1.79E+31,90441000000,21490047352.432495 m/s2
40,40,WISE 0458 6434A,Camelopardalis,17.5,35.9,2.85E+28,300267320.2,3101820542551.7856 m/s2,2010,1.86,Alkaid,104,1.21E+31,2365380000,21293819507518.895 m/s2
41,41,WISE 0458 6434B,Camelopardalis,18.48,35.9,1.90E+28,271670432.6,2526136397535.251 m/s2,2010,1.9,Menkalinan,81,4.75E+30,1927089000,12569555804803.646 m/s2
42,42,WISE 1405 5534,Ursa Major,20.2,25.3,5.70E+28,61483308.43,147961369309392.9 m/s2,2010,1.91,Atria,390,1.39E+31,64004400000,33373668895.6202 m/s2
